NUTS_ID,Unemployme,Youth,ARoP,Death_rate,URBAN-RURA,Border,METRO
AT11,3.63902005,6.76,13.9,5.74,3,1,0
AT12,3.99799791,9.2,13.9,5.5,3,0,0
AT13,9.266188461,16.5,13.9,5.81,1,0,1
AT21,3.757026492,9.6875,13.9,9.1,2,1,0
AT22,3.219040335,9.5,13.9,11.33,2,0,1
AT31,2.907474833,9.3,13.9,7.89,3,1,0
AT32,2.383131414,8.4774,13.9,9.01,3,0,0
AT33,2.107525621,8.5,13.9,5.74,3,1,0
BE,5.6,15.3,14.1,18.57,3,1,0
BE1,12.3,29.1,27.8,12.3,3,1,0
BE10,12.3,29.1,27.8,12.3,1,0,1
BE2,3.5,10.8,9.3,14.52,1,0,1
BE21,4.0,10.2,9.3,14.52,1,1,1
BE22,3.6,11.4,9.3,14.52,2,1,0
BE23,2.7,9.3,9.3,14.52,1,0,1
BE24,3.9,15.2,9.3,14.52,1,0,1
BE25,3.3,9.9,9.3,14.52,2,1,0
BE3,7.3,21.7,18.2,20.02,2,1,0
BE31,6.2,20.2,18.2,20.02,2,0,1
BE32,8.3,24.7,18.2,20.02,1,1,0
BE33,7.8,21.5,18.2,20.02,3,0,1
BE34,5.1,19.1,18.2,20.02,3,1,0
BE35,6.1,18.7,18.2,20.02,3,1,0
BG311,18.9,34.3,24.0,10.65240476778908,3,1,0
BG312,24.5,34.3,23.0,10.6524047677891,2,1,0
BG313,10.0,34.3,24.5,10.6524047677891,2,1,0
BG314,10.9,34.3,20.1,10.6524047677891,2,1,0
BG315,4.8,34.3,29.4,10.6524047677891,2,0,0
BG321,2.6,26.999,21.3,10.6524047677891,2,1,0
BG322,6.8,26.999,25.0,10.6524047677891,2,0,0
BG323,2.6,26.999,12.3,10.6524047677891,2,1,0
BG324,10.3,26.999,12.6,10.6524047677891,3,0,0
BG325,15.2,26.999,20.8,10.6524047677891,3,1,0
BG331,2.1,19.551,19.6,10.6524047677891,2,0,1
BG332,9.4,19.551,24.0,10.6524047677891,2,1,0
BG333,11.1,19.551,20.0,10.6524047677891,2,0,0
BG334,10.5,19.551,18.9,10.6524047677891,3,0,0
BG341,4.9,20.615,27.0,10.6524047677891,2,1,1
BG342,6.9,20.615,29.0,10.6524047677891,2,0,0
BG343,7.2,20.615,31.3,10.6524047677891,2,1,0
BG344,2.1,20.615,26.9,10.6524047677891,2,0,0
BG411,0.8,10.8,21.7,10.6524047677891,1,0,1
BG412,2.8,10.8,19.6,10.6524047677891,3,1,1
BG413,7.2,10.8,24.8,10.6524047677891,2,1,0
BG414,8.1,10.8,16.9,10.6524047677891,2,1,1
BG415,4.5,10.8,20.6,10.6524047677891,2,1,0
BG421,2.9,23.744,23.1,10.6524047677891,2,0,1
BG422,0.3,23.744,21.1,10.6524047677891,2,1,0
BG423,5.0,23.744,21.7,10.6524047677891,2,0,0
BG424,11.5,23.744,25.3,10.6524047677891,3,1,0
BG425,1.4,23.744,26.2,10.6524047677891,3,1,0
HR021,12.4,21.1,18.3,6.442200200845065,3,0,0
HR022,18.8,21.1,18.3,6.58951443515506,3,1,0
HR023,12.9,21.1,18.3,8.68717042094675,3,1,0
HR024,14.6,21.1,18.3,5.424066730680428,2,1,0
HR025,16.8,21.1,18.3,18.34781099908815,2,1,0
HR026,15.1,21.1,18.3,7.291506398464102,3,1,0
HR027,9.1,21.1,18.3,15.41758126894533,3,1,0
HR028,18.7,21.1,18.3,7.745558406351359,3,1,0
HR031,7.2,15.0,18.3,6.348755963042438,2,1,0
HR032,12.7,15.0,18.3,15.55946421323231,3,1,0
HR033,9.2,15.0,18.3,5.474398262473596,3,1,0
HR034,14.3,15.0,18.3,6.673474959301914,2,1,0
HR035,14.6,15.0,18.3,7.408184258501002,2,1,1
HR036,6.3,15.0,18.3,2.333833440499155,3,1,0
HR037,13.1,15.0,18.3,4.89999918333347,2,1,0
HR050,3.7,21.1,18.3,14.02559207152434,1,1,1
HR061,5.5,21.1,18.3,11.91239805736278,3,1,0
HR062,4.2,21.1,18.3,15.67350875606595,2,1,0
HR063,6.4,21.1,18.3,11.71070774228888,3,1,0
HR064,6.1,21.1,18.3,17.44274839840202,3,1,1
HR065,5.8,21.1,18.3,1.162749385519248,3,1,1
IS001,6.76,18.2,14.3,1.283776555312188,2,0,1
CZ010,2.2696005705,7.824185313749999,5.6,8.238457664068772,1,0,1
CZ020,1.9480011253,7.425406045750001,7.3,8.728353286777303,1,0,1
CZ031,1.7821589746,2.378435704,6.6,12.88653791514448,3,1,0
CZ032,2.2016867193,2.22353241675,6.6,9.899999830479455,3,1,1
CZ041,4.7203580879,8.0623149825,14.7,14.42320744984118,2,1,0
CZ042,3.6757318741,13.251980445,14.7,11.60829024379846,2,1,0
CZ051,2.9063724098,4.455177869999999,10.3,9.64637472108905,2,1,0
CZ052,2.5741849088,3.768173955,10.3,11.34783656940036,2,1,0
CZ053,1.6115583167,0.752118925,10.3,8.935028756634306,3,1,0
CZ063,2.2228186794,2.583877296,8.8,13.0243834504024,3,0,0
CZ064,2.2903756272,9.450587685,8.8,12.3323285701462,2,1,1
CZ071,3.0678383973,10.3917644535,12.0,11.81933973086082,2,1,0
CZ072,1.9218596789,6.6178950465,12.0,13.78410622173014,2,1,0
CZ080,3.6114661356,9.529571912,12.0,11.99461241992138,2,1,1
DK011,5.4,8.496472246,12.7,3.80818657188995,1,1,1
DK012,4.64,4.982188381,12.7,3.80818657188995,1,1,1
DK013,3.41,6.755795535,12.7,3.80818657188995,2,0,1
DK014,5.32,8.345235224,12.7,3.80818657188995,3,0,0
DK021,3.56,8.473912393,10.1,2.495942600485574,2,0,1
DK022,4.44,7.643767741,10.1,2.495942600485574,3,0,0
DK031,4.96,8.616148951,12.4,0.768535816630624,2,0,1
DK032,4.03,10.01962509,12.4,0.768535816630624,2,1,0
DK041,3.53,9.607258646,12.3,1.372197174178567,3,0,0
DK042,4.48,11.65023656,12.3,1.372197174178567,2,0,1
DK050,5.02,9.969815374,11.7,1.373030294811641,3,0,1
EE001,6.1,8.308565287,17.9,1.602737746957056,1,0,1
EE004,6.9,8.308565287,17.9,1.60273774695706,3,1,0
EE009,6.9,8.308565287,17.9,1.60273774695706,3,0,0
EE00A,12.3,8.308565287,17.9,1.60273774695706,1,1,0
EE008,6.1,8.308565287,17.9,1.60273774695706,3,1,0
FI193,9.8,21.2,5.1,1.06057743192577,3,0,0
FI194,5.6,21.2,8.0,1.06057743192577,3,0,0
FI195,5.9,21.2,7.4,1.06057743192577,3,0,0
FI196,7.4,21.2,8.6,1.06057743192577,3,0,0
FI197,8.2,21.2,9.5,1.06057743192577,2,0,1
FI1B1,7.2,20.5,9.9,1.06057743192577,1,0,1
FI1C1,7.2,21.1,8.6,1.06057743192577,2,0,1
FI1C2,6.2,21.1,7.9,1.06057743192577,2,0,0
FI1C3,8.0,21.1,9.8,1.06057743192577,2,0,0
FI1C4,8.7,21.1,8.5,1.06057743192577,2,1,0
FI1C5,9.8,21.1,6.8,1.06057743192577,2,1,0
